Ojibwe,English,Words w/ Ambiguity,Pre-disambiguation CG Output,Expected CG Output,Notes
Igiw bagitejii'igewininiwag ogii-aabiinji'aawaan iniw gaa-pi-mawine'ogowaad gii-pi-ataagowaad.,The baseball team overwhelmed the challengers who came to play with them.,"""<ogii-aabiinji'aawaan>""
	""aabiinji'"" PVTense/gii VTA Ind Pos Neu 3PlProxSubj 3PlObvObj
	""aabiinji'"" PVTense/gii VTA Ind Pos Neu 3PlProxSubj 3SgObvObj
""<gii-pi-ataagowaad>""
	""PVDir/bi"" PVTense/gii ataw VTA Cnj Pos Neu 3PlObvSubj 3PlProxObj
	""PVDir/bi"" PVTense/gii ataw VTA Cnj Pos Neu 3SgObvSubj 3PlProxObj
	""PVDir/bi"" PVTense/gii ataw VTA Cnj Pos Neu 0PlSubj 3PlProxObj
	""PVDir/bi"" PVTense/gii ataw VTA Cnj Pos Neu 0SgSubj 3PlProxObj","""<igiw>""
	""igiw"" PRONDem
""<bagitejii'igewininiwag>""
	""bagitejii'igewinini"" NA ProxPl
""<ogii-aabiinji'aawaan>""
	""aabiinji'"" PVTense/gii VTA Ind Pos Neu 3PlProxSubj 3PlObvObj
	""aabiinji'"" PVTense/gii VTA Ind Pos Neu 3PlProxSubj 3SgObvObj
""<iniw>""
	""iniw"" PRONDem
""<gaa-pi-mawine'ogowaad>""

""<gii-pi-ataagowaad>""
	""PVDir/bi"" PVTense/gii ataw VTA Cnj Pos Neu 3PlObvSubj 3PlProxObj
	""PVDir/bi"" PVTense/gii ataw VTA Cnj Pos Neu 3SgObvSubj 3PlProxObj
	""PVDir/bi"" PVTense/gii ataw VTA Cnj Pos Neu 0PlSubj 3PlProxObj
	""PVDir/bi"" PVTense/gii ataw VTA Cnj Pos Neu 0SgSubj 3PlProxObj
""<.>""
","""<igiw>""
	""igiw"" PRONDem
""<bagitejii'igewininiwag>""
	""bagitejii'igewinini"" NA ProxPl
""<ogii-aabiinji'aawaan>""
	""aabiinji'"" PVTense/gii VTA Ind Pos Neu 3PlProxSubj 3PlObvObj
	""aabiinji'"" PVTense/gii VTA Ind Pos Neu 3PlProxSubj 3SgObvObj
""<iniw>""
	""iniw"" PRONDem
""<gaa-pi-mawine'ogowaad>""

""<gii-pi-ataagowaad>""
	""PVDir/bi"" PVTense/gii ataw VTA Cnj Pos Neu 3PlObvSubj 3PlProxObj
	""PVDir/bi"" PVTense/gii ataw VTA Cnj Pos Neu 3SgObvSubj 3PlProxObj
	""PVDir/bi"" PVTense/gii ataw VTA Cnj Pos Neu 0PlSubj 3PlProxObj
	""PVDir/bi"" PVTense/gii ataw VTA Cnj Pos Neu 0SgSubj 3PlProxObj
""<.>""
",
Eyiidawininj ogigishkaanan didibininjiibizonan.,She's wearing rings on both hands.,"""<ogigishkaanan>""
	""gigishkan"" VTI Ind Pos Neu 3PlObvSubj 0PlObj
	""gigishkan"" VTI Ind Pos Neu 3SgObvSubj 0PlObj
	""gigishkan"" VTI Ind Pos Neu 3SgProxSubj 0PlObj","""<eyiidawininj>""
	""eyiidawininj"" ADVLoc
""<ogigishkaanan>""
	""gigishkan"" VTI Ind Pos Neu 3PlObvSubj 0PlObj
	""gigishkan"" VTI Ind Pos Neu 3SgObvSubj 0PlObj
	""gigishkan"" VTI Ind Pos Neu 3SgProxSubj 0PlObj
""<didibininjiibizonan>""
	""didibininjiibizon"" NI Pl
""<.>""
","""<eyiidawininj>""
	""eyiidawininj"" ADVLoc
""<ogigishkaanan>""
	""gigishkan"" VTI Ind Pos Neu 3PlObvSubj 0PlObj
	""gigishkan"" VTI Ind Pos Neu 3SgObvSubj 0PlObj
	""gigishkan"" VTI Ind Pos Neu 3SgProxSubj 0PlObj
""<didibininjiibizonan>""
	""didibininjiibizon"" NI Pl
""<.>""
",
Nimiikinji'ig onjida wenji-doodang.,He's doing that just to badger me.,"""<wenji-doodang>""
	""doodam"" PVRel/onji VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
	""doodam"" PVRel/onji VAI Pcp Pos Neu 3PlProxSubj 3PlProxHead","""<nimiikinji'ig>""
	""miikinji'"" VTA Ind Pos Neu 3SgProxSubj 1SgObj
""<onjida>""
	""onjida"" ADVMan
""<wenji-doodang>""
	""doodam"" PVRel/onji VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
	""doodam"" PVRel/onji VAI Pcp Pos Neu 3PlProxSubj 3PlProxHead
""<.>""
","""<nimiikinji'ig>""
	""miikinji'"" VTA Ind Pos Neu 3SgProxSubj 1SgObj
""<onjida>""
	""onjida"" ADVMan
""<wenji-doodang>""
	""doodam"" PVRel/onji VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
	""doodam"" PVRel/onji VAI Pcp Pos Neu 3PlProxSubj 3PlProxHead
""<.>""
",
Ogii-pajiishkizhaanan ini biiwaabikoonsan wii-saangwewemagoodeked.,She cut the tin into pointed pieces to make a jingle dress.,"""<ogii-pajiishkizhaanan>""
	""bajiishkizhan"" PVTense/gii VTI Ind Pos Neu 3PlObvSubj 0PlObj
	""bajiishkizhan"" PVTense/gii VTI Ind Pos Neu 3SgObvSubj 0PlObj
	""bajiishkizhan"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0PlObj
""<biiwaabikoonsan>""
	""biiwaabik"" NI Dim Pl
	""biiwaabikoons"" NI Pl","""<ogii-pajiishkizhaanan>""
	""bajiishkizhan"" PVTense/gii VTI Ind Pos Neu 3PlObvSubj 0PlObj
	""bajiishkizhan"" PVTense/gii VTI Ind Pos Neu 3SgObvSubj 0PlObj
	""bajiishkizhan"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0PlObj
""<ini>""

""<biiwaabikoonsan>""
	""biiwaabik"" NI Dim Pl
	""biiwaabikoons"" NI Pl
""<wii-saangwewemagoodeked>""

""<.>""
","""<ogii-pajiishkizhaanan>""
	""bajiishkizhan"" PVTense/gii VTI Ind Pos Neu 3PlObvSubj 0PlObj
	""bajiishkizhan"" PVTense/gii VTI Ind Pos Neu 3SgObvSubj 0PlObj
	""bajiishkizhan"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0PlObj
""<ini>""

""<biiwaabikoonsan>""
	""biiwaabik"" NI Dim Pl
	""biiwaabikoons"" NI Pl
""<wii-saangwewemagoodeked>""

""<.>""
",
Ogii-angozhwaan aana-gii-paanizhwaad iniw ogaawan.,He cut up that walleye when he was trying to filet it so there was nothing left.,"""<ogaawan>""
	""ogaa"" NA ObvPl
	""ogaa"" NA ObvSg","""<ogii-angozhwaan>""

""<aana-gii-paanizhwaad>""

""<iniw>""
	""iniw"" PRONDem
""<ogaawan>""
	""ogaa"" NA ObvPl
	""ogaa"" NA ObvSg
""<.>""
","""<ogii-angozhwaan>""

""<aana-gii-paanizhwaad>""

""<iniw>""
	""iniw"" PRONDem
""<ogaawan>""
	""ogaa"" NA ObvPl
	""ogaa"" NA ObvSg
""<.>""
",
Ani-gashkiidibikak gidaa-gibiiga'aanaan giwaasechiganan.,As it gets dark you should close the curtains on the windows.,"""<ani-gashkiidibikak>""
	""gashkiidibikad"" PVDir/ani VII Cnj Pos Neu 0SgSubj
	""gashkiidibikad"" PVDir/ani VII Cnj Pos Neu 0PlSubj","""<ani-gashkiidibikak>""
	""gashkiidibikad"" PVDir/ani VII Cnj Pos Neu 0SgSubj
	""gashkiidibikad"" PVDir/ani VII Cnj Pos Neu 0PlSubj
""<gidaa-gibiiga'aanaan>""

""<giwaasechiganan>""
	""waasechigan"" NI Pl 2SgPoss
""<.>""
","""<ani-gashkiidibikak>""
	""gashkiidibikad"" PVDir/ani VII Cnj Pos Neu 0SgSubj
	""gashkiidibikad"" PVDir/ani VII Cnj Pos Neu 0PlSubj
""<gidaa-gibiiga'aanaan>""

""<giwaasechiganan>""
	""waasechigan"" NI Pl 2SgPoss
""<.>""
",
Wiin obimibizoni'aan iniw daashkiboojiganan.,He is operating the sawmill.,"""<wiin>""
	""iiw"" NAD ObvPl 3SgProxPoss
	""iiw"" NAD ObvSg 3SgProxPoss
	""wiin"" PRONPer
	""wiin"" PCDisc
""<obimibizoni'aan>""
	""bimibizoni'"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""bimibizoni'"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<daashkiboojiganan>""
	""daashkiboojigan"" NA ObvPl
	""daashkiboojigan"" NA ObvSg","""<wiin>""
	""iiw"" NAD ObvPl 3SgProxPoss
	""iiw"" NAD ObvSg 3SgProxPoss
	""wiin"" PRONPer
	""wiin"" PCDisc
""<obimibizoni'aan>""
	""bimibizoni'"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""bimibizoni'"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniw>""
	""iniw"" PRONDem
""<daashkiboojiganan>""
	""daashkiboojigan"" NA ObvPl
	""daashkiboojigan"" NA ObvSg
""<.>""
","""<wiin>""
	""iiw"" NAD ObvPl 3SgProxPoss
	""iiw"" NAD ObvSg 3SgProxPoss
	""wiin"" PRONPer
	""wiin"" PCDisc
""<obimibizoni'aan>""
	""bimibizoni'"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""bimibizoni'"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniw>""
	""iniw"" PRONDem
""<daashkiboojiganan>""
	""daashkiboojigan"" NA ObvPl
	""daashkiboojigan"" NA ObvSg
""<.>""
",
Manaaji' giditibaagiwebishkigan.,Go easy on your bike.,"""<manaaji'>""
	""manaaji'"" VTA Imp Sim 2SgSubj 3SgProxObj
	""manaaji'"" VTA Imp Sim 2SgSubj 3PlProxObj","""<manaaji'>""
	""manaaji'"" VTA Imp Sim 2SgSubj 3SgProxObj
	""manaaji'"" VTA Imp Sim 2SgSubj 3PlProxObj
""<giditibaagiwebishkigan>""
	""ditibaagiwebishkigan"" NA ProxSg 2SgPoss
""<.>""
","""<manaaji'>""
	""manaaji'"" VTA Imp Sim 2SgSubj 3SgProxObj
	""manaaji'"" VTA Imp Sim 2SgSubj 3PlProxObj
""<giditibaagiwebishkigan>""
	""ditibaagiwebishkigan"" NA ProxSg 2SgPoss
""<.>""
",
Indaga dawinamaw 'iw desa'on aw niningwan. Mii imaa ge-izhi-bagidoomaad iniw waawaashkeshiwan.,Please clear off the platform for my son-in-law to set down the deer he's bring in on his back.,"""<niningwan>""
	""ningwano"" VAI Ind Pos Neu 1SgSubj
	""ningwan"" NAD ProxSg 1SgPoss
""<waawaashkeshiwan>""
	""waawaashkeshi"" NA ObvPl
	""waawaashkeshi"" NA ObvSg","""<indaga>""
	""indaga"" PCDisc
""<dawinamaw>""

""<'iw>""

""<desa'on>""
	""desa'on"" NI Sg
""<aw>""
	""aw"" PRONDem
""<niningwan>""
	""ningwano"" VAI Ind Pos Neu 1SgSubj
	""ningwan"" NAD ProxSg 1SgPoss
""<.>""

""<mii>""
	""mii"" ADVPred
""<imaa>""
	""imaa"" ADVLoc
""<ge-izhi-bagidoomaad>""

""<iniw>""
	""iniw"" PRONDem
""<waawaashkeshiwan>""
	""waawaashkeshi"" NA ObvPl
	""waawaashkeshi"" NA ObvSg
""<.>""
","""<indaga>""
	""indaga"" PCDisc
""<dawinamaw>""

""<'iw>""

""<desa'on>""
	""desa'on"" NI Sg
""<aw>""
	""aw"" PRONDem
""<niningwan>""
	""ningwano"" VAI Ind Pos Neu 1SgSubj
	""ningwan"" NAD ProxSg 1SgPoss
""<.>""

""<mii>""
	""mii"" ADVPred
""<imaa>""
	""imaa"" ADVLoc
""<ge-izhi-bagidoomaad>""

""<iniw>""
	""iniw"" PRONDem
""<waawaashkeshiwan>""
	""waawaashkeshi"" NA ObvPl
	""waawaashkeshi"" NA ObvSg
""<.>""
",
Mishawaagonag odizhiweba'aan bikwaakwadoons.,He hit his (golf)ball right out on a field of snow,"""<bikwaakwadoons>""
	""bikwaakwadoons"" NI Sg
	""bikwaakwad"" NI Dim Sg","""<mishawaagonag>""
	""mishawaagonag"" ADVLoc
""<odizhiweba'aan>""
	""izhiweba'an"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<bikwaakwadoons>""
	""bikwaakwadoons"" NI Sg
	""bikwaakwad"" NI Dim Sg
""<.>""
","""<mishawaagonag>""
	""mishawaagonag"" ADVLoc
""<odizhiweba'aan>""
	""izhiweba'an"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<bikwaakwadoons>""
	""bikwaakwadoons"" NI Sg
	""bikwaakwad"" NI Dim Sg
""<.>""
",
Aabitoobii 'i mazhoominaaboo imaa omoodayaabikong.,That bottle is half full with wine.,"""<aabitoobii>""
	""aabitoobii"" VAI Ind Pos Neu 3SgProxSubj
	""aabitoobii"" VII Ind Pos Neu 0SgSubj","""<aabitoobii>""
	""aabitoobii"" VAI Ind Pos Neu 3SgProxSubj
	""aabitoobii"" VII Ind Pos Neu 0SgSubj
""<'i>""

""<mazhoominaaboo>""
	""mazhoominaaboo"" NI Sg
""<imaa>""
	""imaa"" ADVLoc
""<omoodayaabikong>""
	""omoodayaabik"" NI Loc
""<.>""
","""<aabitoobii>""
	""aabitoobii"" VAI Ind Pos Neu 3SgProxSubj
	""aabitoobii"" VII Ind Pos Neu 0SgSubj
""<'i>""

""<mazhoominaaboo>""
	""mazhoominaaboo"" NI Sg
""<imaa>""
	""imaa"" ADVLoc
""<omoodayaabikong>""
	""omoodayaabik"" NI Loc
""<.>""
",
Weweni ogii-oninaan iniw waabiganan.,He carefully shaped the clay.,"""<ogii-oninaan>""
	""onin"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""onin"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""oninan"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<waabiganan>""
	""waabigan"" NA ObvPl
	""waabigan"" NA ObvSg","""<weweni>""
	""weweni"" ADVMan
""<ogii-oninaan>""
	""onin"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""onin"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""oninan"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<iniw>""
	""iniw"" PRONDem
""<waabiganan>""
	""waabigan"" NA ObvPl
	""waabigan"" NA ObvSg
""<.>""
","""<weweni>""
	""weweni"" ADVMan
""<ogii-oninaan>""
	""onin"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""onin"" PVTense/gii VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
	""oninan"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<iniw>""
	""iniw"" PRONDem
""<waabiganan>""
	""waabigan"" NA ObvPl
	""waabigan"" NA ObvSg
""<.>""
",
Bizaanad agwajiing. Gaawiin noodinzinoon.,It's pretty still outside. There's no wind blowing.,"""<noodinzinoon>""
	""noodin"" VII Ind Neg Neu 0PlSubj
	""noodin"" VII Ind Neg Neu 0SgSubj","""<bizaanad>""
	""bizaanad"" VII Ind Pos Neu 0SgSubj
""<agwajiing>""
	""agwajiing"" ADVLoc
""<.>""

""<gaawiin>""
	""gaawiin"" ADVNeg
""<noodinzinoon>""
	""noodin"" VII Ind Neg Neu 0PlSubj
	""noodin"" VII Ind Neg Neu 0SgSubj
""<.>""
","""<bizaanad>""
	""bizaanad"" VII Ind Pos Neu 0SgSubj
""<agwajiing>""
	""agwajiing"" ADVLoc
""<.>""

""<gaawiin>""
	""gaawiin"" ADVNeg
""<noodinzinoon>""
	""noodin"" VII Ind Neg Neu 0PlSubj
	""noodin"" VII Ind Neg Neu 0SgSubj
""<.>""
",
Anaami-nibaagan ko ndatoonan nimakizinan.,I usually put my shoes under the bed.,"""<anaami-nibaagan>""
	""PNLex/anaami"" nibaagan NI Sg
	""anaami-nibaagan"" ADVLoc","""<anaami-nibaagan>""
	""PNLex/anaami"" nibaagan NI Sg
	""anaami-nibaagan"" ADVLoc
""<ko>""
	""ko"" PCAsp
""<ndatoonan>""
	""atoon"" VTI Ind Pos Neu 1SgSubj 0PlObj
""<nimakizinan>""
	""makizin"" NI Pl 1SgPoss
""<.>""
","""<anaami-nibaagan>""
	""PNLex/anaami"" nibaagan NI Sg
	""anaami-nibaagan"" ADVLoc
""<ko>""
	""ko"" PCAsp
""<ndatoonan>""
	""atoon"" VTI Ind Pos Neu 1SgSubj 0PlObj
""<nimakizinan>""
	""makizin"" NI Pl 1SgPoss
""<.>""
",
Niizho-mininj gii'-maajiigi noongom gaa-biboong noozhis Dana.,My grandchild Dana grew two inches this winter.,"""<gaa-biboong>""
	""biboon"" PVSub/gaa VII Cnj Pos Neu 0SgSubj
	""biboon"" PVSub/gaa VII Cnj Pos Neu 0PlSubj","""<niizho-mininj>""
	""niizho-mininj"" NUM
""<gii'-maajiigi>""
	""maajiigi"" PVTense/gii' VAI Ind Pos Neu 3SgProxSubj
""<noongom>""
	""noongom"" ADVTmp
""<gaa-biboong>""
	""biboon"" PVSub/gaa VII Cnj Pos Neu 0SgSubj
	""biboon"" PVSub/gaa VII Cnj Pos Neu 0PlSubj
""<noozhis>""
	""oozhis"" NAD ProxSg 1SgPoss
""<dana>""

""<.>""
","""<niizho-mininj>""
	""niizho-mininj"" NUM
""<gii'-maajiigi>""
	""maajiigi"" PVTense/gii' VAI Ind Pos Neu 3SgProxSubj
""<noongom>""
	""noongom"" ADVTmp
""<gaa-biboong>""
	""biboon"" PVSub/gaa VII Cnj Pos Neu 0SgSubj
	""biboon"" PVSub/gaa VII Cnj Pos Neu 0PlSubj
""<noozhis>""
	""oozhis"" NAD ProxSg 1SgPoss
""<dana>""

""<.>""
",
Gii-wakewizi 'a nabagisag aana-gii-sagaakwa'wag.,The board that I nailed on was weak.,"""<aana-gii-sagaakwa'wag>""
	""PVTense/gii"" PVTense/aana zagaakwa'wi VTA Cnj Pos Neu 1SgSubj 3SgProxObj
	""PVTense/gii"" PVTense/aana zagaakwa' VTA Cnj Pos Neu 1SgSubj 3SgProxObj","""<gii-wakewizi>""
	""wakewizi"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
""<'a>""
	""'a"" PRONDem
""<nabagisag>""
	""nabagisag"" NA ProxSg
""<aana-gii-sagaakwa'wag>""
	""PVTense/gii"" PVTense/aana zagaakwa'wi VTA Cnj Pos Neu 1SgSubj 3SgProxObj
	""PVTense/gii"" PVTense/aana zagaakwa' VTA Cnj Pos Neu 1SgSubj 3SgProxObj
""<.>""
","""<gii-wakewizi>""
	""wakewizi"" PVTense/gii VAI Ind Pos Neu 3SgProxSubj
""<'a>""
	""'a"" PRONDem
""<nabagisag>""
	""nabagisag"" NA ProxSg
""<aana-gii-sagaakwa'wag>""
	""PVTense/gii"" PVTense/aana zagaakwa'wi VTA Cnj Pos Neu 1SgSubj 3SgProxObj
	""PVTense/gii"" PVTense/aana zagaakwa' VTA Cnj Pos Neu 1SgSubj 3SgProxObj
""<.>""
",
Gidaana-wii-kanoonin miinawaa. Gaawiin anokiimagasinoon ningiigidoo-biiwaabikoons. Ganabaj gii-kidiskaabiiginigaade.,I was going to call you again. My phone isn't working. I think it's disconnected.,"""<anokiimagasinoon>""
	""anokii"" VAI Der/magad VII Ind Neg Neu 0PlSubj
	""anokii"" VAI Der/magad VII Ind Neg Neu 0SgSubj","""<gidaana-wii-kanoonin>""
	""PVTense/wii"" PVTense/aana ganoozh VTA Ind Pos Neu 1SgSubj 2SgObj
""<miinawaa>""
	""miinawaa"" ADVConj
""<.>""

""<gaawiin>""
	""gaawiin"" ADVNeg
""<anokiimagasinoon>""
	""anokii"" VAI Der/magad VII Ind Neg Neu 0PlSubj
	""anokii"" VAI Der/magad VII Ind Neg Neu 0SgSubj
""<ningiigidoo-biiwaabikoons>""
	""giigidoo-biiwaabikoons"" NI Sg 1SgPoss
""<.>""

""<ganabaj>""
	""ganabaj"" ADVMan
""<gii-kidiskaabiiginigaade>""
	""gidiskaabiiginigaade"" PVTense/gii VII Ind Pos Neu 0SgSubj
""<.>""
","""<gidaana-wii-kanoonin>""
	""PVTense/wii"" PVTense/aana ganoozh VTA Ind Pos Neu 1SgSubj 2SgObj
""<miinawaa>""
	""miinawaa"" ADVConj
""<.>""

""<gaawiin>""
	""gaawiin"" ADVNeg
""<anokiimagasinoon>""
	""anokii"" VAI Der/magad VII Ind Neg Neu 0PlSubj
	""anokii"" VAI Der/magad VII Ind Neg Neu 0SgSubj
""<ningiigidoo-biiwaabikoons>""
	""giigidoo-biiwaabikoons"" NI Sg 1SgPoss
""<.>""

""<ganabaj>""
	""ganabaj"" ADVMan
""<gii-kidiskaabiiginigaade>""
	""gidiskaabiiginigaade"" PVTense/gii VII Ind Pos Neu 0SgSubj
""<.>""
",
Gaawiin indaa-biinjwebinigetamawaasii awe gegiibaadendang aana-wii-shooniyaawininiiwid.,I will not vote for that crazy-thinking person who is running for treasurer.,"""<gegiibaadendang>""
	""gagiibaadendam"" VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
	""gagiibaadendam"" VAI Pcp Pos Neu 3PlProxSubj 3PlProxHead","""<gaawiin>""
	""gaawiin"" ADVNeg
""<indaa-biinjwebinigetamawaasii>""
	""biinjwebinigetamaw"" PVTense/daa VTA Ind Neg Neu 1SgSubj 3SgProxObj
""<awe>""

""<gegiibaadendang>""
	""gagiibaadendam"" VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
	""gagiibaadendam"" VAI Pcp Pos Neu 3PlProxSubj 3PlProxHead
""<aana-wii-shooniyaawininiiwid>""
	""PVTense/wii"" PVTense/aana zhooniyaawininiiwi VAI Cnj Pos Neu 3SgProxSubj
""<.>""
","""<gaawiin>""
	""gaawiin"" ADVNeg
""<indaa-biinjwebinigetamawaasii>""
	""biinjwebinigetamaw"" PVTense/daa VTA Ind Neg Neu 1SgSubj 3SgProxObj
""<awe>""

""<gegiibaadendang>""
	""gagiibaadendam"" VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
	""gagiibaadendam"" VAI Pcp Pos Neu 3PlProxSubj 3PlProxHead
""<aana-wii-shooniyaawininiiwid>""
	""PVTense/wii"" PVTense/aana zhooniyaawininiiwi VAI Cnj Pos Neu 3SgProxSubj
""<.>""
",
Gii-pi-anoonaa ji-o-ganawendaawasod awe niwiijiiwaagan.,They came and hired my partner to go babysit.,"""<ji-o-ganawendaawasod>""
	""PVDir/o"" PVTense/daa ganawendaawaso VAI Cnj Pos Neu 3SgProxSubj
	""PVDir/o"" PVTense/ga ganawendaawaso VAI Cnj Pos Neu 3SgProxSubj","""<gii-pi-anoonaa>""
	""PVDir/bi"" PVTense/gii anoozh VTA Ind Pos Neu XSubj 3SgProxObj
""<ji-o-ganawendaawasod>""
	""PVDir/o"" PVTense/daa ganawendaawaso VAI Cnj Pos Neu 3SgProxSubj
	""PVDir/o"" PVTense/ga ganawendaawaso VAI Cnj Pos Neu 3SgProxSubj
""<awe>""

""<niwiijiiwaagan>""
	""wiijiiwaagan"" NA ProxSg 1SgPoss
""<.>""
","""<gii-pi-anoonaa>""
	""PVDir/bi"" PVTense/gii anoozh VTA Ind Pos Neu XSubj 3SgProxObj
""<ji-o-ganawendaawasod>""
	""PVDir/o"" PVTense/daa ganawendaawaso VAI Cnj Pos Neu 3SgProxSubj
	""PVDir/o"" PVTense/ga ganawendaawaso VAI Cnj Pos Neu 3SgProxSubj
""<awe>""

""<niwiijiiwaagan>""
	""wiijiiwaagan"" NA ProxSg 1SgPoss
""<.>""
",
Onzaamiinowag awesiinyag noopimiing. Gaye giin gidaa-andawenjige.,There's a lot of animals in the woods. You too should go hunting.,"""<giin>""
	""giin"" PRONPer
	""iiw"" NAD ObvPl 2SgPoss
	""iiw"" NAD ObvSg 2SgPoss","""<onzaamiinowag>""
	""onzaamiino"" VAI Ind Pos Neu 3PlProxSubj
""<awesiinyag>""
	""awesiinh"" NA ProxPl
""<noopimiing>""
	""noopimiing"" ADVLoc
""<.>""

""<gaye>""
	""gaye"" ADVConj
""<giin>""
	""giin"" PRONPer
	""iiw"" NAD ObvPl 2SgPoss
	""iiw"" NAD ObvSg 2SgPoss
""<gidaa-andawenjige>""
	""andawenjige"" PVTense/daa VAI Ind Pos Neu 2SgSubj
""<.>""
","""<onzaamiinowag>""
	""onzaamiino"" VAI Ind Pos Neu 3PlProxSubj
""<awesiinyag>""
	""awesiinh"" NA ProxPl
""<noopimiing>""
	""noopimiing"" ADVLoc
""<.>""

""<gaye>""
	""gaye"" ADVConj
""<giin>""
	""giin"" PRONPer
	""iiw"" NAD ObvPl 2SgPoss
	""iiw"" NAD ObvSg 2SgPoss
""<gidaa-andawenjige>""
	""andawenjige"" PVTense/daa VAI Ind Pos Neu 2SgSubj
""<.>""
",
Wii-aabawaamagad iidog waabang.,It's going to be warm tomorrow.,"""<waabang>""
	""waaban"" VII Cnj Pos Neu 0SgSubj
	""waaban"" VII Cnj Pos Neu 0PlSubj","""<wii-aabawaamagad>""
	""aabawaa"" PVTense/wii VII Aug/magad VII Ind Pos Neu 0SgSubj
""<iidog>""
	""iidog"" PCAsp
""<waabang>""
	""waaban"" VII Cnj Pos Neu 0SgSubj
	""waaban"" VII Cnj Pos Neu 0PlSubj
""<.>""
","""<wii-aabawaamagad>""
	""aabawaa"" PVTense/wii VII Aug/magad VII Ind Pos Neu 0SgSubj
""<iidog>""
	""iidog"" PCAsp
""<waabang>""
	""waaban"" VII Cnj Pos Neu 0SgSubj
	""waaban"" VII Cnj Pos Neu 0PlSubj
""<.>""
",
Owiidanokiimaan iniwen ininiwan.,He's working with that man.,"""<owiidanokiimaan>""
	""wiidanokiim"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""wiidanokiim"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<ininiwan>""
	""inini"" NA ObvPl
	""inini"" NA ObvSg","""<owiidanokiimaan>""
	""wiidanokiim"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""wiidanokiim"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniwen>""
	""iniwen"" PRONDem
""<ininiwan>""
	""inini"" NA ObvPl
	""inini"" NA ObvSg
""<.>""
","""<owiidanokiimaan>""
	""wiidanokiim"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""wiidanokiim"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniwen>""
	""iniwen"" PRONDem
""<ininiwan>""
	""inini"" NA ObvPl
	""inini"" NA ObvSg
""<.>""
",
Ogii-piisibidoon 'i mazina'igan.,He shredded the document.,"""<mazina'igan>""
	""mazina'igan"" NA ProxSg
	""mazina'igan"" NI Sg","""<ogii-piisibidoon>""
	""biisibidoon"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<'i>""

""<mazina'igan>""
	""mazina'igan"" NA ProxSg
	""mazina'igan"" NI Sg
""<.>""
","""<ogii-piisibidoon>""
	""biisibidoon"" PVTense/gii VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<'i>""

""<mazina'igan>""
	""mazina'igan"" NA ProxSg
	""mazina'igan"" NI Sg
""<.>""
",
